County,Property Name,Address,Address Description,City,Listed Date
Adair,Adair Viaduct,,Business 80 over IAIS Railroad,Adair,25-Jun-98
Adair,Adair County Courthouse,  Iowa Ave ,"Courthouse Sq, Iowa Ave and 1st St",Greenfield,02-Jul-81
Adair,Warren Opera House Block and Hetherington Block,156  Public Square  ,,Greenfield,18-Oct-79
Adair,Loucks Grove Church,,"7 mi N of jct SR25 & SR92, 3 mi E, 1.5 mi N on unnamed co rd",Greenfield,22-Nov-95
Adair,Hotel Greenfield,110 E Iowa St ,SW corner of Iowa Street and 1st Street,Greenfield,18-Nov-11
Adair,Adair County Democrat/Adair County Free Press Building,108 E Iowa St ,,Greenfield,07-Feb-11
Adair,Catalpa,,"2 mi. S. of Jct P33 and G53, on P33; Then 1 mi W.",Orient,13-Nov-74
Adair,"Chicago, Rock Island and Pacific Railroad:  Stuart Passenger Station",  Front St ,,Stuart,19-Feb-80
Adams,Corning Commercial Historic District,,"513-824 Davis Ave, 701-829 Benton Ave and cross sts",Corning,31-May-12
Adams,Snider Bridge,  220th St ,4.2 mi W of Corning over unamed stream,Corning,25-Jun-98
Adams,Corning Opera House,800  Davis Ave ,,Corning,21-Sep-93
Adams,Adams County Jail,1000  Benton Ave ,,Corning,28-Feb-91
Adams,"Odell, Noah, House",,,Nodaway,30-Nov-00
Allamakee,Upper Iowa River Bridge (FHWA# 063250),,"4.8 mi SE of Dorchester, Mays Prairie Rd over Upper Iowa Riv",Dorchester,25-Jun-98
Allamakee,Slinde Mound Group,,4 mi W of Hanover on Co. Rd. W60,Hanover,16-Nov-89
Allamakee,Lansing Fisheries Building, S Front St ,bet. Co. X-52 (Front St) and river,Lansing,03-Oct-91
Allamakee,"Kerndt, G. and Brothers Office Block",391  Main St ,,Lansing,10-Nov-82
Allamakee,Old Allamakee County Courthouse,650 S 2nd St ,,Lansing,24-Feb-83
Allamakee,Lansing Stone School,509  Center St ,,Lansing,18-Dec-73
Allamakee,"Kerndt, G. and Brothers Elevator and Warehouses No. 11, 12, 13",60 S Front St ,60-90 S. Front St.,Lansing,18-Oct-79
Allamakee,Effigy Mounds National Monument,,3 mi N of Marquette on IA76,Marquette,15-Oct-66
Allamakee,Fish Farm Mound Group,,3 mi S of New Albin on W side of State Hwy 26,New Albin,25-Jul-88
Allamakee,Iron Post,  Main St ,N End of Main St,New Albin,29-Sep-76
Allamakee,"Reburn, Thomas, Polygonal Barn",,Just W of New Albin,New Albin,29-Jun-86
Allamakee,Turner Hall,119 E Greene St ,,Postville,11-Dec-00
Allamakee,Red Bridge,,7.3 mi NE of Postville,Postville,25-Jun-98
Allamakee,Old East Paint Creek Lutheran Church,,4 mi N of Waterville near X32,Waterville,07-Jul-83
Allamakee,Monsrud Bridge (FHWA# 061840),,"1.1 mi NW of Waterville, Swebakken Rd. over Paint Creek",Waterville,25-Jun-98
Allamakee,Allamakee County Courthouse,107  Allamakee St ,,Waukon,11-Apr-77
Allamakee,Allamakee County Courthouse,110  Allamakee St ,"100 Block Allamakee St., across from Old Courthouse / Jail",Waukon,28-Aug-03
Allamakee,"Hager, Otto J., House",402  Allamakee St ,,Waukon,27-Jun-85
Allamakee,"Meier, Fred W., Round Barn",,1 mi W & 1/2 mi S of Jct of Hwy 9 & 76,Waukon,30-Jun-86
Appanoose,Drake Public Library,115  Drake Ave ,115-117 Drake Ave,Centerville,30-Oct-97
Appanoose,Appanoose County Courthouse,  Van Buren St ,SW corner of Van Buren & N. 12th St,Centerville,02-Jul-81
Appanoose,Courthouse Square Historic District,,"Bldgs facing Courthouse Sq. + those 1/2 blk N & 1 blk E,S,&W",Centerville,30-Oct-97
Appanoose,"Chicago, Burlington, and Quincy Passenger Depot",1124 S 18th St ,,Centerville,24-Aug-03
Appanoose,Stratton House,303 E Washington St ,,Centerville,09-Sep-75
Appanoose,Vermillion Estate,  Valley Dr ,"Valley Drive, 1/4 mi W of Centerville",Centerville,26-Apr-78
Appanoose,Appanoose County Sheriff's Residence and Jail,527 N Main St ,,Centerville,30-Oct-97
Appanoose,United States Post Office,100 W Maple St ,,Centerville,07-Nov-78
Appanoose,Porter Hall,706  Drake Ave ,706 Drake Ave,Centerville,24-Jan-80
Appanoose,Second Baptist Church,422 S 18th St ,,Centerville,30-Aug-99
Appanoose,Sturdivant - Sawyer House,707  Drake Ave ,707 Drake Ave,Centerville,12-Jan-84
Appanoose,Wabash Combination Depot--Moravia, W North St ,West North Street,Moravia,18-Oct-96
Appanoose,Franklin Regular Baptist Church,  135th Ave ,135th Ave and 590th St,Numa,20-Feb-08
Audubon,Audubon County Courthouse,318  Leroy St ,,Audubon,28-Aug-03
Audubon,"Hansen, Andrew P., Farmstead",,Between IA 44 & Co Rd. P58 on Little Elkhorn Cr.,Brayton,03-Oct-91
Audubon,"Bush, John D., House",219 N Kilworth  ,219 N. Kilworth,Exira,03-Oct-91
Audubon,Audubon County Courthouse,200 E Washington St ,,Exira,26-Jul-77
Audubon,Kimballton West 2nd--West 3rd Street Residential District,,"W. 2nd & W. 3rd Sts.,Odense, Alfred & Esbeck St.",Kimballton,18-Aug-95
Audubon,"Bennedsen, Boldt, & Hansen Building",108 N Main St ,108-110 N Main,Kimballton,03-Oct-91
Audubon,Kimballton Commercial District,  Main St ,Jct. Of Alfred and Main Sts.,Kimballton,18-Aug-95
Audubon,Immanuel Danish Evangelical Lutheran Church,206 W 2nd St ,E. side W. 2nd St.,Kimballton,03-Oct-91
Audubon,"Koch, Hans M., House",,"IA 173, W. side, 0.5 mi S of Kimballton",Kimballton,03-Oct-91
Audubon,"Jorgenson, Hans J., Barn",,Jct.of IA 44 and Main St.,Kimballton,03-Oct-91
Audubon,Bethany Danish Evangelical Lutheran Church,,Approx. 3 mi NE of Kimballton,Kimballton,03-Oct-91
Audubon,"Larsen, Jens T.,  House",103  Main St ,103 Main St.,Kimballton,03-Oct-91
Benton,Sankot Motor Company,807  13th St ,807 - 13th Street,Belle Plaine,28-Jul-95
Benton,Herring Hotel,718  13th St ,,Belle Plaine,31-Dec-09
Benton,"Zalesky, Frank E. and Katie (Cherveny), House",802  9th Ave ,,Belle Plaine,10-Apr-12
Benton,"McQuilkin, James Greer,  Round Barn",,9 mi W of Mount Auburn,Mount Auburn,30-Jun-86
Benton,"Round Barn, Bruce Township Section 3",,6.5 mi NW of Mt. Auburn,Mount Auburn,30-Jun-86
Benton,"Round Barn, Bruce Township Section 6",,10 mi WNW of Mount Auburn,Mount Auburn,30-Jun-86
Benton,Shellsburg Bridge,  Pearl St ,Pearl Street over Bear Creek,Shellsburg,25-Jun-98
Benton,Upper Stone Schoolhouse,,"2 mi S of Urbana, E of Vinton",Urbana,07-Jul-83
Benton,Central Vinton Residential Historic District,,"bounded by 2nd Ave, W 13th, D Ave., and W 5th St",Vinton,21-Nov-12
Benton,Iowa Canning Company Seed House Building,201  1st Ave ,,Vinton,12-Mar-12
Benton,Benton County Courthouse, E 4th St ,,Vinton,08-Oct-76
Benton,Vinton Public Library,510  2nd Ave ,,Vinton,23-May-83
Benton,"Ray, Frank G., House and Carriage House",912  1st Ave ,,Vinton,10-Dec-82
Benton,"Burlington, Cedar Rapids and Northern Passenger Station--Vinton",612  2nd Ave ,,Vinton,06-Dec-90
Benton,Youngville Café,2409  73rd St ,,Watkins,01-Feb-07
Black Hawk,Cedar Falls Ice House,  Franklin Ave ,Franklin Ave and 1st St.,Cedar Falls,21-Oct-77
Black Hawk,"Rownd, C. A., Round Barn",5102 S Main St ,5102 S. Main St.,Cedar Falls,28-Nov-86
Black Hawk,Black Hawk Hotel,115  Main St ,115-119 Main St.,Cedar Falls,19-Dec-02
Black Hawk,Cotton Theatre,103  Main St ,103 Main St.,Cedar Falls,23-Jul-93
Black Hawk,Cedar Falls Independent Order of Odd Fellows Temple,401  Main St ,401-403 Main St,Cedar Falls,02-May-97
Black Hawk,Dunkerton Bridge,,Town St. over Crane Creek,Dunkerton,25-Jun-98
Black Hawk,"Newell, James, Barn",,"2 mi. SW. of Janesville, N of Cedar Falls off US 218",Janesville,12-Dec-76
Black Hawk,"Round Barn, Washington Township",,"2 1/4 mi. N. of Cedar Falls, Off US 218",Janesville,30-Jun-86
Black Hawk,Chapple and Young Block,316 E Main St ,316-318-320 Main St,LaPorte City,20-Sep-02
Black Hawk,"Gingrich, Clement B., House",300  Walnut St ,,LaPorte City,04-Dec-96
Black Hawk,"Lange, August H. J. and Justena, Farmstead Historic District",8214  Spring Creek Rd ,,LaPorte City,14-May-97
Black Hawk,"LaPorte City Station, Waterloo, Cedar Falls and Northern Railroad",202 E Main St ,202-204 E Main St,LaPorte City,13-Mar-79
Black Hawk,"McQuilken, John N. and Mary, House",602  Commercial St ,,LaPorte City,08-Sep-94
Black Hawk,Syndicate Block,206 E Main St ,"206-216 E Main St, pka 107-117 E Main St",LaPorte City,21-Dec-05
Black Hawk,"Wasson, Dr. Jesse, Building",201 E Main St ,,LaPorte City,07-Oct-99
Black Hawk,LaPorte City Town Hall and Fire Station,413  Chestnut St ,,LaPorte City,12-May-77
Black Hawk,"Waterfield, William, House",308  3rd St S,,Raymond,19-Oct-78
Black Hawk,Emerson School,314  Randolph St ,"AKA 701 W 2nd St, AKA 715 W 2nd St",Waterloo,29-Dec-04
Black Hawk,Rath Packing Company Administration Building,1515 E Sycamore St ,and 208-212 Elm St,Waterloo,10-Dec-08
Black Hawk,Marsh-Place Building,627  Sycamore St ,,Waterloo,22-Oct-98
Black Hawk,Chicago & Great Western Railroad--Waterloo Freight Depot,800  Sycamore St ,E 6th & Sycamore,Waterloo,17-Jan-97
Black Hawk,Walnut Street Baptist Church,415  Walnut St ,AKA 421 Walnut,Waterloo,16-Aug-00
Black Hawk,Grace Methodist Episcopal Church,633  Walnut St ,aka 250 E 5th St,Waterloo,06-Oct-11
Black Hawk,Waterloo East Commercial Historic District,,128-329 E 4th St; 612-616 Mulberry; 501-632 Sycamore St,Waterloo,18-Nov-11
Black Hawk,Whittier School,1500 W 3rd St ,,Waterloo,30-Dec-04
Black Hawk,Bennington #4,  Bennington Rd ,"7 mi N, 2 mi E of Waterloo, intersection  Bennington/Sage Rd",Waterloo,16-Jan-01
Black Hawk,Waterloo Public Library--East Side Branch,626  Mulberry St ,,Waterloo,29-Nov-88
Black Hawk,Snowden House,306  Washington St ,,Waterloo,14-Sep-77
Black Hawk,YMCA Building,154 W 4th St ,154 W. 4th St.,Waterloo,07-Jul-83
Black Hawk,Highland Historic District,,"Bounded by Independence Ave, Steely, Idaho, and Vine Sts.",Waterloo,24-Sep-84
Black Hawk,Fowler Company Building,226 E 4th St ,226-228 E. 4th St.,Waterloo,16-Sep-09
Black Hawk,"Russell, Rensselaer, House",520 W 3rd St ,,Waterloo,05-Jul-73
Black Hawk,Dunsmore House,902  Logan Ave ,,Waterloo,17-Nov-77
Black Hawk,Waterloo Public Library (West Branch),528 W 4th St ,,Waterloo,23-May-83
Black Hawk,"Weis, Henry, House",800 W 4th St ,800 W. 4th St.,Waterloo,30-Oct-89
Black Hawk,Black Hawk County Soldiers Memorial Hall,194 W 5th St ,,Waterloo,29-Nov-88
Black Hawk,Hotel Russell-Lamson,201 W 5th St ,201-215 W. 5th St.,Waterloo,29-Nov-88
Black Hawk,Roosevelt School,200 E Arlington St ,,Waterloo,30-Dec-04
Black Hawk,Fire Station No. 2,716  Commercial St ,,Waterloo,29-Nov-88
Black Hawk,Master Service Station,500  Jefferson St ,500-504 Jefferson St,Waterloo,07-Feb-11
Boone,"Barkley, Alonzo J. and Flora, House",326  Boone St ,326 Boone St.,Boone,21-Jul-95
Boone,Boone Bridge 2,1000  200th St ,"Over the Des Moines River, 4.5 mi W of Boone",Boone,25-Jun-98
Boone,"Riekenberg, J.H., House",310 N Tama St ,310 N. Tama St.,Boone,11-Apr-88
Boone,"Herman, John H., House",711 S Story St ,711 S. Story St.,Boone,28-Jun-89
Boone,Champlin Memorial Masonic Temple,602  Story St ,602 Story St.,Boone,20-Dec-90
Boone,Perrigo - Holmes House,721  Carroll St ,721 Carroll St.,Boone,08-Sep-94
Boone,Ericson Public Library,702  Greene St ,702 Greene St.,Boone,23-May-83
Boone,First National Bank,814  8th St ,"814 - 816 8th St., 8th and Story Sts.",Boone,28-Jun-89
Boone,Stoll Bottling Works,824  Allen St ,SE. corner of 9th and Allen Sts.,Boone,02-May-97
Boone,Boone County Courthouse, W 2nd St ,NW. corner with N. State St.,Boone,02-Jul-81
Boone,Boone Viaduct,,3 mi. W. of Boone,Boone,17-Nov-78
Boone,Squaw Creek Bridge,,1 mi. NW. of Mackey/8.2 mi NE of Ridgeport,Mackey,25-Jun-98
Boone,"Cassel, Carl and Ulrika Dalander, House",415 W 2nd St ,415 W. 2nd St.,Madrid,12-Apr-82
Boone,Big Creek Bridge 2,2130  320th St ,3 1/2 mi NE. of Madrid,Madrid,25-Jun-98
Boone,Big Creek Bridge,2110  300th St ,"4.3 mi NE of Madrid, over Big Creek",Madrid,25-Jun-98
Boone,Beaver Creek Bridge,120  210th St ,5.9 mi NW of Ogden over Beaver Creek,Ogden,25-Jun-98
Boone,Squaw Creek Bridge 2,  110th St ,110th Street and V Avenue over Squaw Creek,Ridgeport,25-Jun-98
Bremer,Green Mill Ford Bridge,,"2.8 mi NE of Janesville, vacated county rd over Cedar River",Janesville,25-Jun-98
Bremer,Bank of Sumner,118 W 1st St ,,Sumner,25-Aug-04
Bremer,Sumner High School,300 W 4th St ,,Sumner,16-Jun-04
Bremer,Waverly House,402 W Bremer Ave ,,Waverly,12-Dec-76
Bremer,Bremer County Court House,415 E Bremer Ave ,,Waverly,28-Aug-03
Bremer,Wartburg Teachers' Seminary,,Wartburg College Campus,Waverly,20-Jan-78
Buchanan,Richardson-Jakway House,,"RR# 1, 1.75 mi S and 1/8 mi W of Aurora",Aurora,27-Jun-85
Buchanan,"McKenzie, Ezra, Round Barn",,1 1/2 miles West of Hazelton,Hazleton,30-Jun-86
Buchanan,Taylor's Ford Bridge,  Nolen Ave ,Nolen Avenue over Wapsipinicon River,Independence,25-Jun-98
Buchanan,280th Street Bridge,  280th St ,5.0 mi SW of Independence over unnamed stream,Independence,25-Jun-98
Buchanan,Malek Theatre,116  2nd Ave NE,,Independence,21-May-09
Buchanan,"Plane, Robert R., and Julia L. (Finney), House",301  3rd Ave SE,,Independence,27-Aug-99
Buchanan,Maas Commercial Building,209  1st St E,,Independence,14-Aug-98
Buchanan,"Lee, Capt. Daniel S. and Fannie L. (Brooks), House",803  1st St E,,Independence,07-Jan-10
Buchanan,"Fuhrman, Mathias C. and Eva B. Crowell, Farm",1780  185th St ,,Independence,01-May-98
Buchanan,Weins Commercial Building,129  2nd Ave NE,129-131 2nd Ave NE,Independence,16-Jan-97
Buchanan,Wapsipinicon River Bridge,  State Hwy 150  ,"S edge  of Independence, State Hwy 150 over Wapsipinicon",Independence,25-Jun-98
Buchanan,"Shellito, Dr. Judd C. and Margaret S. Clarke,  House",310  5th Ave SE,,Independence,16-Jan-97
Buchanan,Fisher-Plane Commercial Building,119  1st St E,119-121 1st St E,Independence,08-Mar-97
Buchanan,Buchanan County Courthouse,210  5th Ave NE,,Independence,28-Aug-03
Buchanan,"Purdy, Eliphalet W. and Catherine E. Jaquish, House",215  3rd Ave SW,,Independence,07-Mar-96
Buchanan,Munson Building,210  2nd St NE,,Independence,21-Nov-76
Buchanan,Wapsipinicon Mill,100  1st St W,,Independence,21-Apr-75
Buchanan,State Savings Bank,103 N Water St ,,Quasqueton,27-Aug-99
Buchanan,"Walter, Lowell E., House",,Northwest of Quasqueton on State Route W35,Quasqueton,02-Mar-83
Buena Vista,"Chicago, Milwaukee & Pacific Railroad-- Albert City Station",212 N 2nd St ,Grape and 2nd Sts,Albert City,22-Oct-76
Buena Vista,Danish Lutheran Church,113 W 4th St ,NE corner intersection of W 4th St  and S Cherokee St,Alta,18-Nov-11
Buena Vista,Chan-Ya-Ta Site,,3 mi SW of Linn Grove,Linn Grove,21-Nov-78
Buena Vista,"Allee, Jesse J. and Mary E., House",20006  640th St ,1 1/4 mi S of Newell,Newell,26-Mar-92
Buena Vista,Sioux Theatre,218  Main St ,,Sioux Rapids,21-Feb-12
Buena Vista,Brooke Creek Bridge,  470th St ,"8.0 mi SW of Sioux Rapids, over Brooke Creek",Sioux Rapids,25-Jun-98
Buena Vista,Storm Lake Public Library,200 E 5th St ,SE corner of E 5th and Erie Streets,Storm Lake,23-May-83
Buena Vista,Harker House,328  Lake Ave ,,Storm Lake,06-Dec-90
Buena Vista,Illinois Central Passenger Depot--Storm Lake, W Railroad St ,S of W Railroad St between Lake & Michigan Avenues,Storm Lake,06-Sep-90
Butler,Cold Water Church of the Brethren, N High St ,100 Block of North High Street,Greene,13-Jul-79
Butler,"Wolf, Charles, House",401  5th St ,,Parkersburg,01-Oct-79
Butler,Netcott-Pfeiffer House,206  Buswell St ,,Parkersburg,24-Apr-07
Butler,Shell Rock Bridge,  Cherry St ,,Shell Rock,12-Mar-99
Butler,Cherry Street Bridge,  Cherry St ,Town of Shell Rock over Tributary of Shell Rock River,Shell Rock,25-Jun-98
Butler,"McBride, Charles H. and Theresa H., Bungalow",127 E Adair St ,p.k.a. 318 E Washington St.,Shell Rock,07-Feb-11
Calhoun,"Smith, General Cass & Belle, House",500 W Main St ,,Lake City,27-Aug-90
Calhoun,Central School,211  Center St ,,Lake City,03-Jan-85
Calhoun,Lake City Community Memorial Building,118 E Washington St ,,Lake City,27-Aug-90
Calhoun,"Smith, Peter & Mary, House",304 W Main St ,,Lake City,27-Aug-90
Calhoun,Lake City Public Library,120 N Illinois St ,,Lake City,27-Aug-90
Calhoun,Lake City Water Standpipe,126 W Washington St ,,Lake City,27-Aug-90
Calhoun,Marsh Rainbow Arch Bridge,,2.7 miles Southwest of Lake City,Lake City,30-Mar-89
Calhoun,Smith Farmhouse,  Rainbow Rd S,"Just South of Lake City, Rainbow Rd S & Monroe St",Lake City,27-Aug-90
Calhoun,Chicago & North Western Office Building/Passenger Depot--Lake City,401  Front St ,,Lake City,27-Aug-90
Calhoun,Rockwell City Bridge,  270th St ,"Eastern Edges of Rockwell City, over Lake Creek",Rockwell City,25-Jun-98
Calhoun,"Holdoegel, Perry C. and Mattie Forrest, House",504  8th St ,,Rockwell City,06-May-92
Calhoun,Calhoun County Courthouse,400  Court St ,"Northwest Corner of Court & 4th Street, Rockwell City, Iowa",Rockwell City,02-Jul-81
Carroll,Storm Creek Bridge,  Phoenix Ave ,4.0 mi NE of Carroll,Carroll,25-Jun-98
Carroll,Storm Creek Bridge 2,  190th St ,"4.3 mi E of Carroll, over Storm Creek",Carroll,25-Jun-98
Carroll,Robin Ave Bridge,  Robin Ave ,"5.5 mi E of Carroll, over unnamed stream",Carroll,25-Jun-98
Carroll,Quail Avenue Bridge,  Quail Ave ,"4.5 mi SE of Carroll, over unnamed stream",Carroll,25-Jun-98
Carroll,Kittyhawk Avenue Bridge,  Kittyhawk Ave ,3.1 mi SW of Carroll,Carroll,25-Jun-98
Carroll,Olympic Ave Bridge,  Olympic Ave ,4.2 mi NE of Carroll,Carroll,25-Jun-98
Carroll,American Express Building--Carroll, N West St ,Southwest corner of Northwest & West Fifth Streets,Carroll,06-Sep-90
Carroll,Chicago and Northwestern Passenger Depot and Baggage Room--Carroll, N West St ,Southwest corner of Northwest & West Fifth Streets,Carroll,06-Sep-90
Carroll,Carnegie Library Building,125 E 6th St ,,Carroll,13-Nov-76
Carroll,Armour Creameries Poultry House,218  5th Ave S,Assessors:  Walnut St. & 5th Ave.,Coon Rapids,18-Nov-11
Carroll,Fobes Octagon Barn,286  Lanesboro  ,3 miles South and 1/4 mile West of Lanesboro,Lanesboro,30-Jun-86
Carroll,"Leet, William A., and Frederick Hassler, Farmstead District",12196  311th St ,,Manning,05-May-99
Cass,Atlantic Armory,201  Poplar St ,,Atlantic,12-Dec-06
Cass,Atlantic High School,1201 E 14th St ,,Atlantic,24-Oct-02
Cass,"Chase, Charles F. and Ruth, House",110 W 9th St ,,Atlantic,15-Apr-99
Cass,"Martin, S.F., House",419  Poplar St ,,Atlantic,12-Jan-84
Cass,"McWaid, Job A. and Rebecca E., House",702 E 4th St ,,Atlantic,09-Sep-94
Cass,"Chicago, Rock Island, & Pacific Railroad Depot",  1st St ,1st and Chestnut Sts.,Atlantic,23-Feb-94
Cass,Cass County Courthouse,5 W 7th St ,,Atlantic,28-Aug-03
Cass,Griswold National Bank,  Main St ,Corner of Main and Cass,Griswold,22-Feb-79
Cass,"Hitchcock, Reverand George B., House",63788  567th Ln ,"1 mi W of Lewis, Ia",Lewis,09-Nov-77
Cass,Nishnabotna Ferry House, W Minnesota St ,,Lewis,26-Jan-01
Cedar,"Hall, Hannah Morse Fowler, House",1285  Garfield Ave ,,Buchanan,01-May-98
Cedar,Mill Creek Bridge,  Plum St ,"Over Mill Creek, 1.0 mi N of Clarence",Clarence,25-Jun-98
Cedar,Downey Savings Bank,  4th St ,Front St. @ Center St.,Downey,12-Jul-76
Cedar,Saint Paul's Episcopal Church and Parish Hall,206  6th Ave ,,Durant,03-Jan-85
Cedar,Kreinbring Phillips 66 Gas Station,200  Main St ,,Lowden,10-Aug-00
Cedar,Lincoln Hotel,408  Main St ,,Lowden,28-Jun-96
Cedar,"Green, William, House",1709  Madison St ,,Rochester,29-Apr-99
Cedar,Hotel Tipton,524  Cedar St ,,Tipton,02-Jun-98
Cedar,Red Oak Grove Presbyterian Church and Cemetery,751  King Ave ,,Tipton,03-Feb-10
Cedar,Tipton State Bank,501  Cedar St ,,Tipton,14-Sep-00
Cedar,Cedar County Sheriff's Residence and Jail,118 W 4th St ,,Tipton,13-Sep-03
Cedar,Floral Hall,,On Cedar County Fairgrounds,Tipton,07-Nov-76
Cedar,"Reichert, John Christian and Bertha Landrock, House",508 E 4th St ,,Tipton,19-Dec-91
Cedar,Herbert Hoover National Historic Site,,,West Branch,15-Oct-66
Cedar,West Branch Commercial Historic District,,Main and Downey Sts,West Branch,07-Apr-87
Cedar,Gruwell and Crew General Store,109 W Main St ,,West Branch,09-Sep-82
Cerro Gordo,"Etzel, John L., House",214 N 3rd St ,,Clear Lake,27-Jan-83
Cerro Gordo,Elks-Rogers Hotel,223  Main Ave ,,Clear Lake,21-Jun-82
Cerro Gordo,"Rogers, Francis M./Knutson, Clarence and Hazel, House",315 N 3rd St ,,Clear Lake,09-Sep-82
Cerro Gordo,Surf Ballroom,460 N Shore Dr ,,Clear Lake,06-Sep-11
Cerro Gordo,Hotel Lester,408  2nd St NW,408-410 2nd St NW,Mason City,20-Dec-02
Cerro Gordo,"Andrus, A. J., Duplex",687 E State St ,687-691 E State,Mason City,29-Jan-80
